Gender,Race,Age,Disability_Status
Male,White,30,No
Female,White,26,No
Female,Other,31,No
Male,White,23,No
Male,White,39,No
Male,White,34,No
Male,Asian,31,No
Female,White,30,No
Female,Hispanic,29,No
Female,White,29,No
Female,White,27,No
Female,Black,34,No
Male,Asian,23,Yes
Female,Black,30,No
Female,Hispanic,31,No
Female,Asian,26,No
Male,White,33,No
Female,White,29,No
Female,White,31,No
Female,Hispanic,30,Yes
Male,White,25,No
Female,Hispanic,34,No
Female,Black,27,No
Male,Other,27,No
Female,White,24,No
Male,White,33,No
Male,Hispanic,35,No
Male,White,25,No
Female,Hispanic,32,No
Male,White,28,No
Female,Hispanic,21,No
Female,Hispanic,27,No
Female,White,24,No
Female,White,29,Yes
Male,Hispanic,24,No
Female,Hispanic,28,No
Female,White,32,No
Female,White,36,No
Female,Hispanic,20,No
Male,Asian,30,No
Female,White,36,No
Female,Asian,28,No
Female,Black,26,No
Male,White,26,No
Female,Hispanic,36,No
Male,White,31,No
Female,White,25,No
Male,White,25,No
Female,White,32,No
Male,Black,30,No
Male,Asian,26,No
Female,White,30,No
Male,White,31,No
Male,Black,33,No
Female,Other,27,No
Male,White,24,No
Female,Hispanic,29,No
Male,Black,35,No
Male,Black,34,No
Female,Other,33,No
Female,White,29,No
Male,White,29,No
Female,Black,32,No
Female,Other,33,No
Female,White,29,No
Male,Black,35,No
Female,White,28,No
Female,Asian,27,No
Female,White,23,No
Male,Black,28,No
Female,White,22,No
Female,White,32,No
Male,White,28,No
Female,Hispanic,28,No
Female,Hispanic,36,No
Female,Black,30,No
Female,Hispanic,30,No
Female,White,24,No
Male,White,34,No
Female,White,29,No
Female,White,33,No
Male,Hispanic,26,No
Male,White,38,No
Female,White,30,No
Female,White,37,No
Male,Hispanic,35,No
Male,Hispanic,35,No
Female,White,27,No
Female,Black,24,No
Female,White,28,No
Female,White,27,No
Male,White,26,No
Male,White,30,No
Male,White,24,No
Male,White,28,No
Male,White,22,No
Male,White,28,No
Female,White,29,No
Male,White,25,Yes
Female,White,20,No
Male,White,26,No
Male,White,29,No
Male,White,29,No
Male,Asian,26,No
Male,Asian,24,No
Male,White,33,No
Male,White,27,No
Male,Hispanic,35,No
Female,Hispanic,33,No
Female,White,31,No
Male,White,26,No
Female,White,24,No
Female,White,28,No
Male,Hispanic,25,No
Male,Asian,35,No
Female,White,27,No
Female,Black,35,No
Female,White,31,No
Male,Black,24,No
Female,White,39,No
Female,White,29,No
Male,White,31,Yes
Male,White,26,No
Male,White,22,No
Male,Other,32,No
Female,Black,24,No
Male,Black,24,No
Male,Black,32,Yes
Female,White,33,No
Female,White,24,No
Male,Asian,28,No
Male,White,31,Yes
Male,Black,22,No
Male,White,23,No
Male,White,29,Yes
Male,Hispanic,27,No
Male,Black,24,No
Female,Black,23,No
Male,White,28,No
Female,Hispanic,23,No
Female,Hispanic,29,No
Female,Hispanic,25,No
Male,Hispanic,35,No
Female,White,26,No
Male,White,37,No
Female,White,29,No
Female,Hispanic,28,No
Male,Black,30,No
Female,White,43,No
Male,White,26,No
Male,White,22,No
Male,White,28,No
Male,White,36,No
Female,Other,28,No
Female,White,33,No
Female,White,18,No
Male,White,36,Yes
Male,White,29,Yes
Female,Hispanic,27,No
Female,White,33,No
Male,Asian,32,Yes
Male,Other,29,No
Female,Asian,34,No
Male,White,29,No
Male,White,26,No
Male,White,27,No
Male,Hispanic,36,No
Male,White,30,No
Male,Native American,29,No
Male,Hispanic,30,No
Female,White,31,No
Male,White,24,No
Female,White,24,Yes
Male,White,21,No
Male,Asian,28,No
Female,White,26,No
Male,Black,36,No
Female,White,31,No
Male,White,35,No
Female,White,28,No
Female,Black,33,No
Female,Hispanic,27,No
Male,White,35,Yes
Male,White,32,No
Female,Hispanic,33,No
Female,Asian,23,No
Female,White,23,No
Female,Hispanic,25,No
Female,White,26,No
Female,White,30,No
Female,White,31,No
Male,Hispanic,33,No
Male,White,25,No
Female,Other,28,Yes
Female,White,23,No
Male,Hispanic,21,No
Male,White,33,No
Male,Hispanic,39,Yes
Female,White,27,No
Male,White,25,No
Male,Hispanic,27,No
Female,White,33,No
Female,Black,43,Yes
Female,Hispanic,30,No
Female,White,34,Yes
Female,White,33,No
Male,White,24,Yes
Male,White,26,No
Female,Hispanic,31,Yes
Female,White,28,No
Female,White,28,No
Male,White,32,No
Female,Black,30,Yes
Female,Black,29,Yes
Male,White,22,No
Male,Black,34,No
Female,White,37,Yes
Female,Hispanic,29,No
Male,Black,24,No
Male,Hispanic,36,No
Male,White,24,No
Male,White,24,No
Male,White,41,No
Male,Hispanic,31,No
Male,Hispanic,24,No
Male,White,29,No
Male,Asian,27,No
Female,White,26,No
Male,White,32,No
Male,White,29,No
Male,White,28,No
Male,Black,24,No
Male,White,23,No
Male,White,28,No
Male,White,29,No
Female,White,23,No
Male,White,33,No
Male,White,32,No
Male,White,32,Yes
Male,White,32,No
Female,White,26,No
Male,Hispanic,34,No
Male,Native American,28,No
Male,White,28,No
Female,White,34,No
Female,Hispanic,22,No
Male,Black,28,No
Female,White,29,No
Female,White,33,No
Male,White,25,No
Female,Hispanic,26,No
